Ref,Val,Package,PosX,PosY,Rot,Side
"N2","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",123.190000,-63.995000,0.000000,top
"N3","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",142.345000,-63.970000,0.000000,top
"N4","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",161.415000,-63.995000,0.000000,top
"N5","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",180.715000,-64.020000,0.000000,top
"N6","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",199.735000,-63.945000,0.000000,top
"N7","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",218.840000,-63.945000,0.000000,top
"N8","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",238.040000,-63.970000,0.000000,top
"N9","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",257.135000,-63.970000,0.000000,top
"N10","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",223.490000,-121.445000,0.000000,top
"O1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",267.210000,-83.220000,0.000000,top
"OPTION1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",122.960000,-140.670000,0.000000,top
"P1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",286.440000,-83.195000,0.000000,top
"Q1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",113.240000,-83.195000,0.000000,top
"R1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",171.020000,-83.345000,0.000000,top
"RCMD1","SW_Push","SW_Cherry_MX_1.25u_PCB-Gateron-KS-3X",287.765000,-140.770000,0.000000,top
"RIGHT1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",377.115000,-140.820000,0.000000,top
"ROPTION1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",309.395000,-140.795000,0.000000,top
"RSHIFT1","SW_Push","SW_Cherry_MX_1.75u_PCB-Gateron-KS-3X",331.640000,-121.637500,0.000000,top
"S1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",137.240000,-102.345000,0.000000,top
"SPACE1","SW_Push","SW_Cherry_MX_6.25u_PCB-Gateron-KS-3X-switch",216.215000,-140.762500,0.000000,top
"SW1","RotaryEncoder_Switch","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",304.375000,-43.275000,0.000000,top
"SW2","RotaryEncoder_Switch","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",332.000000,-43.425000,0.000000,top
"T1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",190.060000,-83.320000,0.000000,top
"Tab1","SW_Push","SW_Cherry_MX_1.50u_PCB-Gateron-KS-3X",89.370000,-83.145000,0.000000,top
"U1","ER_OLEDM0.91_1x-I2C","ER_OLEDM0.91_1x-I2C",252.010000,-49.010000,90.000000,top
"U2","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",228.625000,-83.100000,0.000000,top
"UP1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",357.810000,-121.670000,0.000000,top
"V1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",185.115000,-121.570000,0.000000,top
"W1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",132.415000,-83.195000,0.000000,top
"X1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",146.815000,-121.545000,0.000000,top
"Y1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",209.210000,-83.145000,0.000000,top
"Z1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",127.575000,-121.535000,0.000000,top
"\|1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",343.845000,-83.095000,0.000000,top
"abovetab1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",84.640000,-64.045000,0.000000,top
"{1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",305.550000,-83.200000,0.000000,top
"}1","SW_Push","SW_Cherry_MX_1.00u_PCB-Gateron-KS-3x switch",324.740000,-83.070000,0.000000,top
